CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,,,
P000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P003,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P004,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
P005,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
P006,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
P007,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,
P008,0,8,,IRQ12-DS,,,,,,,,,,,,,,,,,,,,,,,,,,
P100,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P101,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P102,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P103,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P104,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
P105,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
P106,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
P108,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
P109,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,
P110,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,
P111,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,
P112,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
P113,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P114,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P115,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
P200,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P201,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P202,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P203,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P204,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
P205,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
P206,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,
P207,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,
P208,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
P209,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,
P210,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,
P211,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,
P212,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,
P213,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P214,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P300,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P301,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P302,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P303,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P304,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
P305,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,
P306,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,
P307,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
P308,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
P309,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,
P310,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,
P311,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,
P312,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,
P400,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P401,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P402,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P403,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P404,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
P405,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
P406,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
P407,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,
P408,4,8,,IRQ7,,,,RXD3/MISO3/SCL3,,,,,,,,,,,,,,,,,,,,,,,,,
P409,4,9,,IRQ6,,,,TXD3/MOSI3/SDA3,,,,,,,,,,,,,,,,,,,,,,,,,
P410,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
P411,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
P412,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,
P413,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P414,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P415,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,
P500,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P501,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P502,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P503,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P504,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
P505,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
P506,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
P507,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,
P508,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
P509,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,
P510,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
P511,5,11,,IRQ15,,,,RXD4/MISO4/SCL4,,,,SDA2,,,,,,,,,,,,,,,,,
P512,5,12,,IRQ14,,,,TXD4/MOSI4/SDA4,,,,SCL2,,,,,,,,,,,,,,,,,
P600,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P601,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P602,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P603,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P604,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,
